tfidf_combination,accuracy,precision,recall,f1
tf_unnormalized_idf_unnormalized,0.9204166666666667,0.9219126007379339,0.9204166666666668,0.9207469337257055
tf_unnormalized_idf_normalized,0.9216666666666666,0.9234644206745101,0.9216666666666665,0.9220113425780374
tf_total_idf_unnormalized,0.9320833333333334,0.9343154030700139,0.9320833333333334,0.932768251258291
tf_total_idf_normalized,0.7329166666666667,0.8917820831471532,0.7329166666666667,0.7429702835977482
tf_max_idf_unnormalized,0.9229166666666667,0.92457333897854,0.9229166666666666,0.9233728797073121
tf_max_idf_normalized,0.9345833333333333,0.935677143182175,0.9345833333333333,0.9347447655099695
